 ID,PARAM,Date,Drummondville,SYM
02OF019,1,2025/01/01,162,
02OF019,1,2025/01/02,144,
02OF019,1,2025/01/03,123,
02OF019,1,2025/01/04,123,
02OF019,1,2025/01/05,374,
02OF019,1,2025/01/06,774,
02OF019,1,2025/01/07,653,
02OF019,1,2025/01/08,479,
02OF019,1,2025/01/09,308,
02OF019,1,2025/01/10,159,
02OF019,1,2025/01/11,136,
02OF019,1,2025/01/12,173,
02OF019,1,2025/01/13,176,
02OF019,1,2025/01/14,177,
02OF019,1,2025/01/15,185,
02OF019,1,2025/01/16,200,
02OF019,1,2025/01/17,188,
02OF019,1,2025/01/18,194,
02OF019,1,2025/01/19,151,
02OF019,1,2025/01/20,138,
02OF019,1,2025/01/21,137,
02OF019,1,2025/01/22,139,
02OF019,1,2025/01/23,147,
02OF019,1,2025/01/24,176,
02OF019,1,2025/01/25,186,
02OF019,1,2025/01/26,199,
02OF019,1,2025/01/27,185,
02OF019,1,2025/01/28,182,
02OF019,1,2025/01/29,170,
02OF019,1,2025/01/30,148,
02OF019,1,2025/01/31,123,
02OF019,1,2025/02/01,114,
02OF019,1,2025/02/02,118,
02OF019,1,2025/02/03,117,
02OF019,1,2025/02/04,125,
02OF019,1,2025/02/05,128,
02OF019,1,2025/02/06,122,
02OF019,1,2025/02/07,114,
02OF019,1,2025/02/08,113,
02OF019,1,2025/02/09,107,
02OF019,1,2025/02/10,113,
02OF019,1,2025/02/11,110,
02OF019,1,2025/02/12,108,
02OF019,1,2025/02/13,117,
02OF019,1,2025/02/14,114,
02OF019,1,2025/02/15,110,
02OF019,1,2025/02/16,109,
02OF019,1,2025/02/17,106,
02OF019,1,2025/02/18,97.0,
02OF019,1,2025/02/19,96.0,
02OF019,1,2025/02/20,97.0,
02OF019,1,2025/02/21,95.0,
02OF019,1,2025/02/22,95.0,
02OF019,1,2025/02/23,100,
02OF019,1,2025/02/24,97.0,
02OF019,1,2025/02/25,95.0,
02OF019,1,2025/02/26,97.0,
02OF019,1,2025/02/27,85.0,
02OF019,1,2025/02/28,76.0,
02OF019,1,2025/03/01,80.0,
02OF019,1,2025/03/02,83.0,
02OF019,1,2025/03/03,85.0,
02OF019,1,2025/03/04,88.0,
02OF019,1,2025/03/05,86.0,
02OF019,1,2025/03/06,80.0,
02OF019,1,2025/03/07,78.0,
02OF019,1,2025/03/08,78.0,
02OF019,1,2025/03/09,78.0,
02OF019,1,2025/03/10,83.0,
02OF019,1,2025/03/11,83.0,
02OF019,1,2025/03/12,83.0,
02OF019,1,2025/03/13,82.0,
02OF019,1,2025/03/14,71.0,
02OF019,1,2025/03/15,74.0,
02OF019,1,2025/03/16,79.0,
02OF019,1,2025/03/17,91.0,
02OF019,1,2025/03/18,79.0,
02OF019,1,2025/03/19,88.0,
02OF019,1,2025/03/20,88.0,
02OF019,1,2025/03/21,88.0,
02OF019,1,2025/03/22,76.0,
02OF019,1,2025/03/23,84.0,
02OF019,1,2025/03/24,79.0,
02OF019,1,2025/03/25,81.0,
02OF019,1,2025/03/26,78.0,
02OF019,1,2025/03/27,98.0,
02OF019,1,2025/03/28,159,
02OF019,1,2025/03/29,220,
02OF019,1,2025/03/30,486,
02OF019,1,2025/03/31,710,
02OF019,1,2025/04/01,804,
02OF019,1,2025/04/02,637,
02OF019,1,2025/04/03,522,
02OF019,1,2025/04/04,434,
02OF019,1,2025/04/05,384,
02OF019,1,2025/04/06,367,
02OF019,1,2025/04/07,407,
02OF019,1,2025/04/08,509,
02OF019,1,2025/04/09,646,
02OF019,1,2025/04/10,957,
02OF019,1,2025/04/11,1430,
02OF019,1,2025/04/12,1370,
02OF019,1,2025/04/13,1190,
02OF019,1,2025/04/14,989,
02OF019,1,2025/04/15,816,
02OF019,1,2025/04/16,756,
02OF019,1,2025/04/17,1000,
02OF019,1,2025/04/18,1210,
02OF019,1,2025/04/19,1020,
02OF019,1,2025/04/20,895,
02OF019,1,2025/04/21,902,
02OF019,1,2025/04/22,912,
02OF019,1,2025/04/23,950,
02OF019,1,2025/04/24,1060,
02OF019,1,2025/04/25,896,
02OF019,1,2025/04/26,1010,
02OF019,1,2025/04/27,971,
02OF019,1,2025/04/28,711,
02OF019,1,2025/04/29,543,
02OF019,1,2025/04/30,410,
02OF019,1,2025/05/01,325,
02OF019,1,2025/05/02,247,
02OF019,1,2025/05/03,198,
02OF019,1,2025/05/04,195,
02OF019,1,2025/05/05,175,
02OF019,1,2025/05/06,180,
02OF019,1,2025/05/07,228,
02OF019,1,2025/05/08,274,
02OF019,1,2025/05/09,209,
02OF019,1,2025/05/10,162,
02OF019,1,2025/05/11,161,
02OF019,1,2025/05/12,97.0,
02OF019,1,2025/05/13,106,
02OF019,1,2025/05/14,118,
02OF019,1,2025/05/15,168,
02OF019,1,2025/05/16,181,
02OF019,1,2025/05/17,171,
02OF019,1,2025/05/18,147,
02OF019,1,2025/05/19,118,
02OF019,1,2025/05/20,114,
02OF019,1,2025/05/21,119,
02OF019,1,2025/05/22,159,
02OF019,1,2025/05/23,177,
02OF019,1,2025/05/24,135,
02OF019,1,2025/05/25,149,
02OF019,1,2025/05/26,213,
02OF019,1,2025/05/27,177,
02OF019,1,2025/05/28,184,
02OF019,1,2025/05/29,201,
02OF019,1,2025/05/30,180,
02OF019,1,2025/05/31,190,
02OF019,1,2025/06/01,171,
02OF019,1,2025/06/02,214,
02OF019,1,2025/06/03,277,
02OF019,1,2025/06/04,244,
02OF019,1,2025/06/05,214,
02OF019,1,2025/06/06,202,
02OF019,1,2025/06/07,175,
02OF019,1,2025/06/08,191,
02OF019,1,2025/06/09,158,
02OF019,1,2025/06/10,143,
02OF019,1,2025/06/11,134,
02OF019,1,2025/06/12,134,
02OF019,1,2025/06/13,103,
02OF019,1,2025/06/14,89.0,
02OF019,1,2025/06/15,102,
02OF019,1,2025/06/16,91.0,
02OF019,1,2025/06/17,79.0,
02OF019,1,2025/06/18,79.0,
02OF019,1,2025/06/19,77.0,
02OF019,1,2025/06/20,77.0,
02OF019,1,2025/06/21,107,
02OF019,1,2025/06/22,549,
02OF019,1,2025/06/23,871,
02OF019,1,2025/06/24,604,
02OF019,1,2025/06/25,394,
02OF019,1,2025/06/26,307,
02OF019,1,2025/06/27,242,
02OF019,1,2025/06/28,226,
02OF019,1,2025/06/29,208,
02OF019,1,2025/06/30,185,
02OF019,1,2025/07/01,125,
02OF019,1,2025/07/02,124,
02OF019,1,2025/07/03,140,
02OF019,1,2025/07/04,96.0,
02OF019,1,2025/07/05,90.0,
02OF019,1,2025/07/06,85.0,
02OF019,1,2025/07/07,88.0,
02OF019,1,2025/07/08,83.0,
02OF019,1,2025/07/09,80.0,
02OF019,1,2025/07/10,75.0,
02OF019,1,2025/07/11,57.0,
02OF019,1,2025/07/12,63.0,
02OF019,1,2025/07/13,68.0,
02OF019,1,2025/07/14,38.0,
02OF019,1,2025/07/15,54.0,
02OF019,1,2025/07/16,30.0,
02OF019,1,2025/07/17,23.0,
02OF019,1,2025/07/18,67.0,
02OF019,1,2025/07/19,55.0,
02OF019,1,2025/07/20,51.0,
02OF019,1,2025/07/21,67.0,
02OF019,1,2025/07/22,53.0,
02OF019,1,2025/07/23,61.0,
02OF019,1,2025/07/24,57.0,
02OF019,1,2025/07/25,55.0,
02OF019,1,2025/07/26,66.0,
02OF019,1,2025/07/27,80.0,
02OF019,1,2025/07/28,70.0,
02OF019,1,2025/07/29,86.0,
02OF019,1,2025/07/30,165,
02OF019,1,2025/07/31,291,
02OF019,1,2025/08/01,236,
02OF019,1,2025/08/02,170,
02OF019,1,2025/08/03,123,
02OF019,1,2025/08/04,96.0,
02OF019,1,2025/08/05,62.0,
02OF019,1,2025/08/06,99.0,
02OF019,1,2025/08/07,87.0,
02OF019,1,2025/08/08,72.0,
02OF019,1,2025/08/09,58.0,
02OF019,1,2025/08/10,41.0,
02OF019,1,2025/08/11,47.0,
02OF019,1,2025/08/12,48.0,
02OF019,1,2025/08/13,51.0,
02OF019,1,2025/08/14,48.0,
02OF019,1,2025/08/15,45.0,
02OF019,1,2025/08/16,40.0,
02OF019,1,2025/08/17,33.0,
02OF019,1,2025/08/18,36.0,
02OF019,1,2025/08/19,53.0,
02OF019,1,2025/08/20,78.0,
02OF019,1,2025/08/21,60.0,
02OF019,1,2025/08/22,50.0,
02OF019,1,2025/08/23,45.0,
02OF019,1,2025/08/24,51.0,
02OF019,1,2025/08/25,64.0,
02OF019,1,2025/08/26,127,
02OF019,1,2025/08/27,118,
02OF019,1,2025/08/28,98.0,
02OF019,1,2025/08/29,74.0,
02OF019,1,2025/08/30,80.0,
02OF019,1,2025/08/31,85.0,
02OF019,1,2025/09/01,134,
02OF019,1,2025/09/02,207,
02OF019,1,2025/09/03,162,
02OF019,1,2025/09/04,262,
02OF019,1,2025/09/05,377,
02OF019,1,2025/09/06,290,
02OF019,1,2025/09/07,258,
02OF019,1,2025/09/08,296,
02OF019,1,2025/09/09,230,
02OF019,1,2025/09/10,193,
02OF019,1,2025/09/11,215,
02OF019,1,2025/09/12,266,
02OF019,1,2025/09/13,217,
02OF019,1,2025/09/14,174,
02OF019,1,2025/09/15,150,
02OF019,1,2025/09/16,121,
02OF019,1,2025/09/17,100,
02OF019,1,2025/09/18,102,
02OF019,1,2025/09/19,95.0,
02OF019,1,2025/09/20,94.0,
02OF019,1,2025/09/21,108,
02OF019,1,2025/09/22,91.0,
02OF019,1,2025/09/23,76.0,
02OF019,1,2025/09/24,107,
02OF019,1,2025/09/25,91.0,
02OF019,1,2025/09/26,96.0,
02OF019,1,2025/09/27,93.0,
02OF019,1,2025/09/28,136,
02OF019,1,2025/09/29,220,
02OF019,1,2025/09/30,183,
02OF019,1,2025/10/01,134,
02OF019,1,2025/10/02,125,
02OF019,1,2025/10/03,171,
02OF019,1,2025/10/04,279,
02OF019,1,2025/10/05,365,
02OF019,1,2025/10/06,356,
02OF019,1,2025/10/07,279,
02OF019,1,2025/10/08,223,
02OF019,1,2025/10/09,221,
02OF019,1,2025/10/10,312,
02OF019,1,2025/10/11,337,
02OF019,1,2025/10/12,261,
02OF019,1,2025/10/13,249,
02OF019,1,2025/10/14,267,
02OF019,1,2025/10/15,229,
02OF019,1,2025/10/16,187,
02OF019,1,2025/10/17,174,
02OF019,1,2025/10/18,180,
02OF019,1,2025/10/19,237,
02OF019,1,2025/10/20,207,
02OF019,1,2025/10/21,209,
02OF019,1,2025/10/22,544,
02OF019,1,2025/10/23,488,
02OF019,1,2025/10/24,370,
02OF019,1,2025/10/25,309,
02OF019,1,2025/10/26,266,
02OF019,1,2025/10/27,240,
02OF019,1,2025/10/28,233,
02OF019,1,2025/10/29,216,
02OF019,1,2025/10/30,292,
02OF019,1,2025/10/31,185,
02OF019,1,2025/11/01,151,
02OF019,1,2025/11/02,184,
02OF019,1,2025/11/03,189,
02OF019,1,2025/11/04,156,
02OF019,1,2025/11/05,214,
02OF019,1,2025/11/06,497,
02OF019,1,2025/11/07,583,
02OF019,1,2025/11/08,437,
02OF019,1,2025/11/09,335,
02OF019,1,2025/11/10,307,
02OF019,1,2025/11/11,258,
02OF019,1,2025/11/12,201,
02OF019,1,2025/11/13,184,
02OF019,1,2025/11/14,190,
02OF019,1,2025/11/15,202,
02OF019,1,2025/11/16,281,
02OF019,1,2025/11/17,361,
02OF019,1,2025/11/18,344,
02OF019,1,2025/11/19,332,
02OF019,1,2025/11/20,284,
02OF019,1,2025/11/21,233,
02OF019,1,2025/11/22,222,
02OF019,1,2025/11/23,198,
02OF019,1,2025/11/24,160,
02OF019,1,2025/11/25,152,
02OF019,1,2025/11/26,112,
02OF019,1,2025/11/27,117,
02OF019,1,2025/11/28,125,
02OF019,1,2025/11/29,189,
02OF019,1,2025/11/30,233,
02OF019,1,2025/12/01,171,
02OF019,1,2025/12/02,133,
02OF019,1,2025/12/03,130,
02OF019,1,2025/12/04,152,
02OF019,1,2025/12/05,151,
02OF019,1,2025/12/06,185,
02OF019,1,2025/12/07,158,
02OF019,1,2025/12/08,145,
02OF019,1,2025/12/09,123,
02OF019,1,2025/12/10,120,
02OF019,1,2025/12/11,174,
02OF019,1,2025/12/12,337,
02OF019,1,2025/12/13,220,
02OF019,1,2025/12/14,194,
02OF019,1,2025/12/15,222,
02OF019,1,2025/12/16,206,
02OF019,1,2025/12/17,160,
02OF019,1,2025/12/18,135,
02OF019,1,2025/12/19,149,
02OF019,1,2025/12/20,155,
02OF019,1,2025/12/21,148,
02OF019,1,2025/12/22,145,
02OF019,1,2025/12/23,126,
02OF019,1,2025/12/24,109,
02OF019,1,2025/12/25,117,
02OF019,1,2025/12/26,138,
02OF019,1,2025/12/27,109,
02OF019,1,2025/12/28,95.0,
02OF019,1,2025/12/29,110,
02OF019,1,2025/12/30,116,
02OF019,1,2025/12/31,112,
02OF019,1,2026/01/01,112,
